Date;TMin (°C);TMax (°C);TMoy (°C)
21/05/2017;6.62;20.98;13.8
22/05/2017;12.35;23.45;17.9
23/05/2017;9.62;21.05;15.34
24/05/2017;13.65;23.18;18.41
25/05/2017;13.3;27.28;20.29
26/05/2017;15.95;28.9;22.42
27/05/2017;15.52;23.12;19.32
28/05/2017;13.23;22.48;17.85
29/05/2017;15.1;19.48;17.29
30/05/2017;13.62;20.12;16.88
31/05/2017;12.78;22.2;17.49
01/06/2017;10.75;25.15;17.95
02/06/2017;11.58;22.5;17.04
03/06/2017;11.52;18.73;15.12
04/06/2017;8.07;19.3;13.69
05/06/2017;9.3;18.4;13.85
06/06/2017;10.18;16.42;13.3
07/06/2017;9.8;18.2;14.0
08/06/2017;12.5;20.5;16.5
09/06/2017;11.92;20.15;16.04
10/06/2017;13.65;23.17;18.41
11/06/2017;14.15;21.65;17.9
12/06/2017;8.98;18.8;13.89
13/06/2017;9.25;22.0;15.62
14/06/2017;12.55;26.72;19.64
15/06/2017;11.92;22.25;17.09
16/06/2017;10.02;21.72;15.88
17/06/2017;12.05;26.68;19.36
18/06/2017;13.7;28.7;21.2
19/06/2017;16.5;31.22;23.86
20/06/2017;17.98;32.45;25.21
21/06/2017;17.6;28.45;23.02
22/06/2017;15.7;23.98;19.84
23/06/2017;13.45;21.58;17.51
24/06/2017;13.6;22.75;18.17
25/06/2017;13.98;23.35;18.66
26/06/2017;14.77;22.8;18.79
27/06/2017;13.75;19.53;16.64
28/06/2017;14.22;20.85;17.54
29/06/2017;11.55;19.68;15.61
30/06/2017;12.25;15.2;13.73
01/07/2017;12.78;19.95;16.36
02/07/2017;13.65;20.65;17.15
03/07/2017;13.3;20.72;17.01
04/07/2017;10.48;24.7;17.59
05/07/2017;14.68;28.78;21.72
06/07/2017;15.88;27.52;21.7
07/07/2017;13.82;25.85;19.84
08/07/2017;13.92;26.38;20.15
09/07/2017;14.32;25.0;19.66
10/07/2017;13.55;22.3;17.92
11/07/2017;14.12;20.78;17.45
12/07/2017;15.8;19.67;17.74
13/07/2017;13.42;22.22;17.82
14/07/2017;11.75;21.45;16.6
15/07/2017;9.38;22.85;16.11
16/07/2017;12.7;25.05;18.88
17/07/2017;15.78;27.38;21.58
18/07/2017;17.9;29.78;23.84
19/07/2017;17.92;22.17;20.05
20/07/2017;12.72;20.15;16.44
21/07/2017;12.58;20.23;16.4
22/07/2017;11.92;18.85;15.39
23/07/2017;13.0;17.45;15.22
24/07/2017;11.55;23.05;17.3
25/07/2017;13.9;23.25;18.58
26/07/2017;16.27;20.32;18.3
27/07/2017;13.52;20.92;17.23
28/07/2017;14.95;21.5;18.23
29/07/2017;17.27;22.15;19.71
30/07/2017;13.48;20.88;17.18
31/07/2017;12.23;21.72;16.97
01/08/2017;10.62;22.15;16.39
02/08/2017;14.88;21.05;17.96
03/08/2017;15.85;21.2;18.52
04/08/2017;15.88;20.85;18.36
05/08/2017;11.42;21.3;16.36
06/08/2017;8.32;20.83;14.58
07/08/2017;9.4;22.98;16.19
08/08/2017;13.02;19.32;16.18
09/08/2017;9.77;18.3;14.04
10/08/2017;12.9;19.42;16.16
11/08/2017;9.3;19.55;14.42
12/08/2017;15.08;20.2;17.64
13/08/2017;12.12;20.83;16.48
14/08/2017;10.15;24.68;17.41
15/08/2017;14.38;21.65;18.01
16/08/2017;11.9;22.58;17.24
17/08/2017;16.9;22.3;19.6
18/08/2017;15.42;21.38;18.4
19/08/2017;10.2;20.58;15.39
20/08/2017;9.23;20.72;14.98
21/08/2017;15.82;24.28;20.05
22/08/2017;15.12;29.8;22.46
23/08/2017;14.8;22.55;18.68
24/08/2017;12.3;22.3;17.3
25/08/2017;13.1;23.08;18.09
26/08/2017;12.65;24.65;18.65
27/08/2017;15.45;26.8;21.12
28/08/2017;16.88;29.62;23.25
29/08/2017;16.27;26.75;21.51
30/08/2017;12.9;16.08;14.49
31/08/2017;8.55;20.2;14.38
01/09/2017;10.92;18.95;14.94
02/09/2017;9.43;20.2;14.81
03/09/2017;13.02;17.8;15.41
04/09/2017;15.28;21.52;18.4
05/09/2017;15.88;20.68;18.28
06/09/2017;12.3;19.88;16.09
07/09/2017;11.52;18.65;15.09
08/09/2017;14.55;17.05;15.8
09/09/2017;10.5;17.78;14.14
10/09/2017;11.35;18.25;14.8
11/09/2017;11.42;17.6;14.51
12/09/2017;9.95;17.73;13.84
13/09/2017;12.8;16.15;14.48
14/09/2017;9.22;18.05;13.64
15/09/2017;6.75;16.18;11.46
16/09/2017;8.3;15.92;12.11
17/09/2017;8.73;16.12;12.42
18/09/2017;5.45;17.77;11.61
19/09/2017;7.82;17.97;12.9
20/09/2017;9.62;18.15;13.89
21/09/2017;10.92;17.62;14.27
22/09/2017;5.78;18.4;12.09
23/09/2017;7.62;21.05;14.34
24/09/2017;12.9;18.65;15.78
25/09/2017;13.45;18.73;16.09
26/09/2017;10.48;18.8;14.64
27/09/2017;9.72;19.25;14.49
28/09/2017;11.88;19.85;15.86
29/09/2017;13.58;18.23;15.9
30/09/2017;10.42;18.38;14.4
01/10/2017;14.35;17.88;16.11
02/10/2017;14.42;19.92;17.18
03/10/2017;9.15;17.12;13.14
04/10/2017;5.45;18.5;11.98
05/10/2017;6.9;16.97;11.94
06/10/2017;6.5;16.45;11.48
07/10/2017;4.85;17.85;11.35
08/10/2017;13.5;16.48;14.99
09/10/2017;13.85;18.0;15.92
10/10/2017;12.2;16.62;14.41
11/10/2017;13.4;18.62;16.01
12/10/2017;13.18;18.7;15.94
13/10/2017;14.35;19.62;16.99
14/10/2017;10.25;21.62;15.94
15/10/2017;14.08;21.68;17.88
16/10/2017;14.48;19.27;16.88
17/10/2017;10.45;16.8;13.62
18/10/2017;12.27;18.92;15.6
19/10/2017;12.3;16.8;14.55
20/10/2017;9.75;17.02;13.39
21/10/2017;10.5;15.38;12.94
22/10/2017;8.45;14.78;11.61
23/10/2017;11.5;15.85;13.68
24/10/2017;14.35;17.25;15.8
25/10/2017;10.55;18.2;14.38
26/10/2017;7.48;18.6;13.04
27/10/2017;11.58;15.77;13.68
28/10/2017;5.3;15.1;10.2
29/10/2017;11.02;14.9;12.96
30/10/2017;6.92;13.55;10.24
31/10/2017;3.05;13.32;8.19
01/11/2017;4.47;14.4;9.44
02/11/2017;8.57;17.23;12.9
03/11/2017;9.05;15.7;12.38
04/11/2017;9.07;14.22;11.65
05/11/2017;5.6;11.27;8.44
06/11/2017;2.72;13.6;8.16
07/11/2017;5.85;12.05;8.95
08/11/2017;3.92;11.7;7.81
09/11/2017;2.28;12.6;7.44
10/11/2017;8.68;13.78;11.23
11/11/2017;9.7;13.72;11.71
12/11/2017;7.3;13.3;10.3
13/11/2017;2.52;10.82;6.68
14/11/2017;1.58;12.38;6.98
15/11/2017;5.12;13.6;9.36
16/11/2017;4.18;10.3;7.24
17/11/2017;3.95;12.85;8.4
18/11/2017;2.73;11.65;7.19
19/11/2017;5.22;13.0;9.11
20/11/2017;5.78;13.3;9.54
21/11/2017;10.4;14.28;12.34
22/11/2017;10.35;16.38;13.36
23/11/2017;10.4;13.75;12.08
24/11/2017;5.05;11.55;8.3
25/11/2017;2.62;9.62;6.12
26/11/2017;0.85;8.93;4.89
27/11/2017;3.85;11.92;7.89
28/11/2017;3.88;9.95;6.91
29/11/2017;0.9;8.62;4.76
30/11/2017;1.02;7.55;4.29
01/12/2017;1.48;7.6;4.54
02/12/2017;0.85;9.07;4.96
03/12/2017;3.68;10.72;7.2
04/12/2017;6.1;11.9;9.0
05/12/2017;6.75;10.2;8.48
06/12/2017;7.55;11.38;9.46
07/12/2017;6.7;13.6;10.15
08/12/2017;3.02;8.15;5.59
09/12/2017;0.8;13.4;7.1
10/12/2017;5.28;11.82;8.55
11/12/2017;4.45;6.95;5.7
12/12/2017;-0.15;10.28;5.06
13/12/2017;7.07;11.55;9.31
14/12/2017;4.18;8.85;6.51
15/12/2017;4.32;9.32;6.82
16/12/2017;1.35;8.55;4.95
17/12/2017;4.12;11.3;7.71
18/12/2017;5.58;11.7;8.64
19/12/2017;0.35;9.05;4.7
20/12/2017;1.35;9.82;5.59
21/12/2017;8.28;10.55;9.41
22/12/2017;8.12;11.35;9.74
23/12/2017;8.9;10.98;9.94
24/12/2017;8.43;11.0;9.71
25/12/2017;7.98;11.0;9.49
26/12/2017;4.3;9.65;6.98
27/12/2017;3.5;8.02;5.76
28/12/2017;-0.42;8.6;4.09
29/12/2017;3.72;13.55;8.64
